order_id,store_id,transaction_date,transaction_time,basket_value_inr,item_count,categories
104338647,ST1008,10-04-2026,12:15:05,1647.0,3,makeup
104341290,ST1008,10-04-2026,12:42:18,11367.0,33,bath-and-body|makeup|personal-care|skin
104346717,ST1008,10-04-2026,13:41:55,396.0,4,skin
104347785,ST1008,10-04-2026,13:55:16,201.0,2,bath-and-body|personal-care
104350137,ST1008,10-04-2026,14:23:21,225.0,1,makeup
104353598,ST1008,10-04-2026,15:02:20,1165.0,3,personal-care|skin
104357849,ST1008,10-04-2026,15:46:39,599.0,1,makeup
104358212,ST1008,10-04-2026,15:50:44,402.0,2,bath-and-body|skin
104359750,ST1008,10-04-2026,16:08:03,799.0,1,makeup
104362899,ST1008,10-04-2026,16:45:32,4029.0,6,bath-and-body|makeup|skin
104363838,ST1008,10-04-2026,16:55:36,2713.0,8,bath-and-body|fragrance|hair|skin
104368521,ST1008,10-04-2026,17:44:44,299.0,1,makeup
104369411,ST1008,10-04-2026,17:55:02,2074.0,6,makeup
104369867,ST1008,10-04-2026,18:00:18,149.0,1,makeup
104370397,ST1008,10-04-2026,18:07:14,1155.0,2,makeup
104373042,ST1008,10-04-2026,18:41:51,2658.0,3,hair|makeup|skin
104375288,ST1008,10-04-2026,19:02:09,3441.0,7,bath-and-body|makeup
104377545,ST1008,10-04-2026,19:21:55,4385.0,11,bath-and-body|makeup|skin
104378732,ST1008,10-04-2026,19:33:52,1198.0,3,makeup|personal-care|skin
104379480,ST1008,10-04-2026,19:41:29,2296.0,6,makeup|skin
104380754,ST1008,10-04-2026,19:54:02,1749.0,7,hair|makeup|skin
104383803,ST1008,10-04-2026,20:25:04,1199.0,4,bath-and-body|makeup
104389493,ST1008,10-04-2026,21:16:15,299.0,1,skin
104391745,ST1008,10-04-2026,21:39:55,475.0,1,hair
